id,title,slug,author,status,publish_date,comments_count,title_length,description_length,content_length,has_image,external_image,needs_truncation
2,Mode professionnel activé !,mode-professionnel-activé,Legalodec,published,2017-08-29 14:18:48.383000,29,27,505,2468,Y,Y,Y
3,[VBBC] Saison 2017/2018 déjà historique !,vbbc-saison-20172018-déjà-historique-br,Guizmo,published,2017-09-01 23:33:17.452000,15,41,110,5260,Y,Y,N
4,Khelby prêté à la Guizmo International Company...,khelby-prêté-à-la-guizmo-international-company,Legalodec,published,2017-09-02 13:18:30.527000,9,49,460,4685,Y,Y,Y
5,Ligue de Bordeaux : Back in ze business !,ligue-de-bordeaux-back-in-ze-business,Bagouze,published,2017-09-03 18:03:12.159000,12,41,140,8023,Y,Y,N
6,"Baltus: ""Si je ne vais pas en Play Off, j'arrête le Blood Bowl.""",baltus-emsi-je-ne-vais-pas-en-play-off-jarrête-le-blood-bowlem,Legalodec,published,2017-09-05 20:32:33.647000,14,64,418,2865,Y,Y,Y
7,La saison des Records à Cognac,la-saison-des-records-à-cognac,longusbarbe,published,2017-09-05 23:47:07.857000,12,30,108,2564,Y,Y,N
8,"Korrigans Blood Bowl League, c'est reparti!",korrigans-blood-bowl-league-cest-repartibr,dds,published,2017-09-06 14:24:41.380000,20,43,270,1967,Y,Y,Y
9,Petit guide de survie du Rookie en LdC (J1),petit-guide-de-survie-du-rookie-en-ldc-j1,Legalodec,published,2017-09-07 20:08:09.804000,22,43,720,6308,Y,Y,Y
11,La fulgurante ascension de David Sycod,la-fulgurante-ascension-de-david-sycodbr-1,dds,published,2017-09-08 12:10:48.539000,19,38,255,3584,Y,Y,Y
13,"Site de gestion, version 1.1",site-de-gestion-version-11,Bagouze,published,2017-09-12 06:21:57.209000,21,28,92,2707,Y,Y,N
14,"Joh: ""Truquer au Sort? Ca se travaille...""",joh-truquer-au-sort-ca-se-travaille,Legalodec,published,2017-09-12 14:56:27.287000,16,42,586,3769,Y,Y,Y
15,Les franchises du Mordorbihan s’invitent à la VBBC de Cognac.,les-franchises-du-mordorbihan-sinvitent-à-la-vbbc-de-cognac,longusbarbe,published,2017-09-13 21:38:43.493000,10,61,164,6381,Y,Y,N
16,Le rookie Giom n’engage pas de minotaure pour sa J1…,le-rookie-giom-nengage-pas-de-minotaure-pour-sa-j1,Legalodec,published,2017-09-14 19:47:00.810000,21,52,649,2808,Y,Y,Y
17,Mercato : Contrat de management,mercato-contrat-de-management,PapaRazzi,published,2017-09-16 22:12:41.442000,23,31,224,7236,Y,Y,Y
18,Passage en revue des vestiaires,passage-en-revue-des-vestiaires,longusbarbe,published,2017-09-16 23:43:57.934000,16,31,195,6221,Y,Y,N
19,Il dévore son plongeur de la mort… deux fois !,il-dévore-son-plongeur-de-la-mort-deux-foisnbsp,Legalodec,published,2017-09-17 12:40:04.050000,9,46,412,2596,Y,Y,Y
22,Breaking News : Et de 2 !!,breaking-news-et-de-2-br,GoTheHakes,published,2017-09-17 18:13:17.020000,7,26,299,1391,Y,Y,Y
23,La Buvette Korrigane #1,strongvarla-buvette-korrigane-1varstrongbr,DavidSycod,published,2017-09-19 08:55:02.632000,9,23,349,4618,Y,Y,Y
25,"Mercato : Pass, pass le oinj !!",mercato-pass-pass-le-oinj-br,Guizmo,published,2017-09-22 22:13:56.396000,6,31,208,24829,Y,Y,Y
26,[J2] Choc au somment de l'AFC !,j2-choc-au-somment-de-lafc,Legalodec,published,2017-09-24 13:30:45.120000,13,31,437,2727,Y,Y,Y
27,[J2] Baltus claque une Manita !!,j2-baltus-claque-une-manitanbsp,Legalodec,published,2017-09-26 19:19:43.517000,7,32,312,2073,Y,Y,Y
28,Qui traine encore dans le vestiaire?,qui-traine-encore-dans-le-vestiaire,longusbarbe,published,2017-10-02 00:04:54.366000,24,36,63,4579,Y,Y,N
29,"Site de Gestion, Level Up !",site-de-gestion-level-up,Bagouze,published,2017-10-05 16:35:31.832000,19,27,18,6753,Y,Y,N
30,[J2] Quatre morts pour l’Armada&nbsp;!,j2-quatre-morts-pour-larmadanbsp,Legalodec,published,2017-10-09 16:20:55.296000,4,38,785,1891,Y,Y,Y
31,[3 étoiles] Maud Rosbif cuisine les grenouilles de Go The Hakes !,3-étoiles-maud-rosbif-cuisine-les-grenouilles-de-go-the-hakesnbsp,Legalodec,published,2017-10-10 16:17:00.712000,2,65,601,3451,Y,Y,Y
32,Le torchon brûle à la ArkCorp,le-torchon-brûle-à-la-arkcorp,arctulipe,published,2017-10-11 15:06:51.674000,15,29,286,3873,Y,Y,Y
33,[Blood Bowl Leaks] Tractations sauvages autour du match Chavrouze / Bagouze,blood-bowl-leaksnbsptractations-sauvages-autour-du-match-chavrouze-bagouze,EdwardGnomden,published,2017-10-11 22:10:21.479000,9,75,288,4405,Y,Y,Y
34,La Buvette Korrigane #2<br>,titre-du-nouvel-article-cliquez-moi,DavidSycod,published,2017-10-12 15:17:03.407000,42,27,198,4627,Y,Y,N
35,Tous les Rookies se couchent …ou presque !,tous-les-rookies-se-couchent-ou-presquenbsp,longusbarbe,published,2017-10-12 22:23:33.584000,11,42,195,3433,Y,Y,N
37,19 morts en 3 journées! Ca tombe comme à Stalingrad !,19-morts-en-3-journées-ca-tombe-comme-à-stalingrad,Legalodec,published,2017-10-15 08:58:44.861000,9,53,334,4327,Y,Y,Y
